,age,consentEnd,demographicsEnd,education,gender,gigBenefit,gigEver,gigWorkers,income,introEnd,politics,race,studyEnd,scenario0end,scenario1end,scenario2end,scenario3end,scenario4end,scenario5end,scenario6end,scenario7end,scenario8end,Day off,Direct Supervisor,Evaluation,Salary,Working Options (companies in same sector),Working hours (length),Working hours (time period),choice,eval,pid,rid
0,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Paid, but following company policies",No,Daily,Fixed US$500.00,Yes,Minimum 4h,Totally flexible,True,4,1074,0
1,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Unpaid, but whenever you want",Yes,Monthly,Fixed US$250.00 + US$6.25 per hour,Yes,Minimum 8h,9am-5pm required,False,3,1074,0
2,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Paid, but following company policies",Yes,Yearly,US$12.50 per hour,No,Work as much as you want/need,Totally flexible,True,5,1074,1
3,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Paid, but following company policies",Yes,Yearly,Fixed US$500.00,No,Minimum 8h,9am-5pm required,False,4,1074,1
4,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Paid, but following company policies",An algorithm,Yearly,Fixed US$250.00 + US$6.25 per hour,Yes,Minimum 8h,Totally flexible,True,3,1074,2
5,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Unpaid, but whenever you want",Yes,Daily,Fixed US$250.00 + US$6.25 per hour,No,Minimum 8h,Totally flexible,False,1,1074,2
6,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Paid, but following company policies",Yes,Yearly,US$12.50 per hour,Yes,Minimum 8h,Totally flexible,True,3,1074,3
7,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Paid, but following company policies",Yes,Monthly,US$12.50 per hour,Yes,Minimum 8h,9am-5pm required,False,3,1074,3
8,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Paid, but following company policies",Yes,Yearly,Fixed US$250.00 + US$6.25 per hour,Yes,Minimum 8h,Totally flexible,True,4,1074,4
9,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Unpaid, but whenever you want",An algorithm,Daily,Fixed US$250.00 + US$6.25 per hour,No,Minimum 4h,Totally flexible,False,3,1074,4
